Time,Date,Sender_account,Receiver_account,Amount_in_GBP,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type,cross_border_score,amount_score,currency_score,payment_type_score,pattern_score,total_risk_score,risk_category,priority_review_flag
44:57.0,20-08-2021,8879525611,5931025271,3288.139893,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
50:55.0,03-03-2021,5736462531,4993808565,995.0900269,SGD,SGD,Singapore,Singapore,Credit Card,1,Structuring,0,0,0,5,5,10,Low,0
11:47.0,01-06-2022,6360837474,4011966884,3351.689941,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
12:52.0,17-12-2022,4742303947,1957449367,1516.199951,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
04:49.0,10-03-2022,7482848011,1118543408,2561.23999,KYD,Dirham,Cayman Islands,UAE,Cheque,1,Fan-In,20,5,15,8,10,58,Medium,0
27:22.0,03-05-2022,5791662169,6111349421,4785.319824,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
51:34.0,03-12-2023,3880327491,6859286614,24175.16992,GBP,Dirham,UK,UAE,Cheque,1,Structuring,20,25,15,8,5,73,High,1
54:07.0,12-04-2022,8159250505,6695912196,20401.53906,GBP,Dirham,UK,UAE,ACH,1,Cross-Border_Movement,20,25,15,5,20,85,High,1
24:43.0,28-09-2021,6587537178,5296710795,2079.379883,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
41:20.0,24-12-2022,3901796894,7490442894,1210.219971,SGD,EUR,Singapore,Germany,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
32:42.0,11-09-2023,2333241445,4464161270,3673.780029,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
39:54.0,24-04-2021,3472487690,6944142262,2648.639893,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
57:48.0,15-06-2021,1939915527,2995226582,3928.919922,GBP,Dirham,UK,UAE,Cash Deposit,1,Cross-Border_Movement,20,5,15,10,20,70,High,0
29:42.0,06-04-2023,7852415525,9123612497,12884.25,GBP,Dirham,UK,UAE,Wire Transfer,1,Cross-Border_Movement,20,25,15,5,20,85,High,1
35:28.0,05-09-2021,7333678472,8033702319,1825.319946,USD,PAB,USA,Panama,Cheque,1,Cross-Border_Movement,20,5,15,8,20,68,Medium,0
18:15.0,27-02-2022,1346078411,1647812758,4619.149902,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
26:26.0,30-05-2022,2785736751,7099469983,1886.880005,USD,EUR,USA,Germany,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
36:24.0,28-01-2023,8884394611,4856070374,3582.590088,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
24:21.0,06-11-2023,1116402431,8055556030,2109.189941,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
24:20.0,25-11-2021,9072992279,7105574449,13481.62988,PAB,GBP,Panama,UK,Cash Deposit,1,Cash_Deposits,20,25,15,10,5,75,High,1
04:49.0,28-10-2023,5078551333,9677466102,3096.179932,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
36:13.0,24-12-2022,8588769565,4518871744,1576.390015,GBP,USD,UK,USA,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
43:58.0,07-08-2022,4070964768,9916336966,24270.0293,GBP,Dirham,UK,UAE,Cash Deposit,1,Cash_Deposits,20,25,15,10,5,75,High,1
38:51.0,08-07-2021,5471357886,7583090712,4055.560059,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
00:54.0,15-10-2022,5748253283,9421518487,23547.9707,GBP,Dirham,UK,UAE,Credit Card,1,Fan-Out,20,25,15,5,12,77,High,1
46:33.0,28-10-2023,7291584955,7839626408,4558.27002,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
17:56.0,28-12-2022,8164814926,2444812497,3311.179932,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
22:51.0,06-02-2022,9633533290,5071897791,23124.98047,GBP,Dirham,UK,UAE,Cross-border,1,Structuring,20,25,15,15,5,80,High,1
44:30.0,01-10-2023,1074059253,2263732197,1171.670044,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
23:30.0,10-05-2023,6715705115,8313706299,1623.130005,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
12:20.0,05-07-2021,3964229896,1822662216,2085.449951,KYD,EUR,Cayman Islands,Germany,Prepaid Card,1,Structuring,20,5,15,5,5,50,Medium,0
06:53.0,28-10-2021,6065662867,9650701349,2166.389893,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
35:18.0,20-12-2023,8528185058,9642614082,2432.439941,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
03:16.0,28-01-2023,7015992643,9908115095,1939.670044,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
36:19.0,13-05-2021,8578226896,7539399243,4280.700195,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
27:19.0,03-06-2023,4178659381,6201313620,2298.360107,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
04:10.0,05-01-2021,7313226025,1140187131,1979.920044,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
04:43.0,29-12-2021,5010075517,2825957977,14024.70996,GBP,Dirham,UK,UAE,Cheque,1,Fan-Out,20,25,15,8,12,80,High,1
10:50.0,23-04-2022,9251459094,2886149718,1391.880005,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
17:32.0,19-04-2023,9935429720,2075321966,20252.73047,GBP,Dirham,UK,UAE,Prepaid Card,1,Structuring,20,25,15,5,5,70,High,1
01:48.0,11-11-2023,3474961963,6047405755,1113.109985,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
37:27.0,14-09-2023,5162060546,7313646580,4944.930176,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
10:21.0,02-10-2022,9354542654,3362646960,4043.429932,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
49:25.0,11-03-2023,9594878379,7279140605,1634.609985,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
31:40.0,18-11-2022,6169243284,3358880404,823.1900024,PAB,EUR,Panama,Germany,Credit Card,1,Structuring,20,0,15,5,5,45,Medium,0
40:38.0,07-01-2022,9648665968,2752306681,20571.07031,GBP,Dirham,UK,UAE,Cash Deposit,1,Cross-Border_Movement,20,25,15,10,20,90,High,1
41:53.0,28-08-2021,8372755146,6469318275,3768.800049,PAB,Dirham,Panama,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
12:58.0,21-07-2023,4776677517,4710967433,18496.16992,GBP,Dirham,UK,UAE,Cross-border,1,Cash_Deposits,20,25,15,15,5,80,High,1
32:17.0,28-01-2021,8129391249,4716265973,4039.340088,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
48:34.0,09-08-2022,3995732958,7750819485,2777.070068,GBP,Dirham,UK,UAE,Cash Deposit,1,Cash_Deposits,20,5,15,10,5,55,Medium,0
45:58.0,16-08-2022,5212581851,1158998032,9603.179688,GBP,Dirham,UK,UAE,Prepaid Card,1,Fan-In,20,15,15,5,10,65,Medium,1
28:06.0,29-03-2023,9655852024,5914110094,1286.650024,Dirham,GBP,UAE,UK,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
21:39.0,13-12-2023,7586857685,9392965643,21714.48047,GBP,Dirham,UK,UAE,Cross-border,1,Structuring,20,25,15,15,5,80,High,1
04:15.0,08-09-2023,5683143581,5201928545,3417.850098,EUR,SGD,Germany,Singapore,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
19:57.0,28-02-2021,6554972315,6904897514,2189.77002,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
50:11.0,28-09-2021,6329323383,1614685938,1066.949951,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
00:57.0,24-12-2022,1678500147,7818568548,2106.129883,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
54:19.0,06-11-2021,8960015186,1458072318,2165.77002,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
44:18.0,04-02-2021,8122042835,2178884276,18510.55078,GBP,Dirham,UK,UAE,Credit Card,1,Fan-In,20,25,15,5,10,75,High,1
47:31.0,21-03-2022,8739238825,5464285982,3477.73999,GBP,USD,UK,USA,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
58:18.0,23-05-2022,1754368373,9467483275,22293.10938,GBP,Dirham,UK,UAE,Prepaid Card,1,Fan-Out,20,25,15,5,12,77,High,1
52:30.0,04-04-2022,5789617427,5135595227,12333.16016,GBP,Dirham,UK,UAE,Prepaid Card,1,Cross-Border_Movement,20,25,15,5,20,85,High,1
51:35.0,28-07-2022,5354747485,3304560537,3870.26001,GBP,Dirham,UK,UAE,Credit Card,1,Cash_Deposits,20,5,15,5,5,50,Medium,0
52:40.0,28-08-2022,3024977737,3620283102,18117.86914,GBP,Dirham,UK,UAE,Cross-border,1,Cash_Deposits,20,25,15,15,5,80,High,1
07:08.0,12-03-2021,3115806625,1417436465,3995.300049,Dirham,PAB,UAE,Panama,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
47:44.0,20-04-2023,9381721143,9730449971,3157.360107,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
54:23.0,04-06-2021,8064477344,5555027957,19503.21094,GBP,Dirham,UK,UAE,Prepaid Card,1,Cross-Border_Movement,20,25,15,5,20,85,High,1
13:41.0,21-09-2023,1091729577,8674224347,2873.939941,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
04:53.0,28-05-2023,6295689007,4325887726,2995.47998,USD,GBP,USA,UK,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
08:34.0,25-01-2022,4721365350,1566090561,11260.98047,GBP,Dirham,UK,UAE,Wire Transfer,1,Cash_Deposits,20,25,15,5,5,70,High,1
16:03.0,16-07-2021,3259520140,4202607993,1610.060059,GBP,Dirham,UK,UAE,Wire Transfer,1,Structuring,20,5,15,5,5,50,Medium,0
32:14.0,28-08-2023,5140460939,7019900273,1253.140015,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
04:57.0,06-05-2021,1637088959,5836956044,1754.300049,GBP,Dirham,UK,UAE,Credit Card,1,Cash_Deposits,20,5,15,5,5,50,Medium,0
38:33.0,04-04-2022,7895255573,4014119648,16273.84961,EUR,SGD,Germany,Singapore,Prepaid Card,1,Fan-Out,20,25,15,5,12,77,High,1
56:14.0,05-10-2022,7242730249,5703357871,8544.540039,GBP,Dirham,UK,UAE,Cheque,1,Fan-Out,20,15,15,8,12,70,High,1
30:04.0,22-05-2021,5695387521,8468071953,13205.7002,USD,GBP,USA,UK,Wire Transfer,1,Structuring,20,25,15,5,5,70,High,1
07:26.0,04-07-2022,6636925105,3179320310,4611.779785,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
22:54.0,15-05-2023,8570333548,3465740756,6983.009766,SGD,USD,Singapore,USA,Prepaid Card,1,Structuring,20,15,15,5,5,60,Medium,1
41:35.0,10-02-2021,8273403366,1124352982,10849.19043,GBP,Dirham,UK,UAE,Cheque,1,Cash_Deposits,20,25,15,8,5,73,High,1
55:09.0,30-05-2023,1298867122,5173893550,3973.310059,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
29:21.0,02-09-2021,8394198376,1225953184,6491.160156,GBP,Dirham,UK,UAE,Credit Card,1,Fan-In,20,15,15,5,10,65,Medium,1
42:27.0,25-01-2023,7073872915,3200510647,1123.319946,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
37:31.0,30-03-2023,1195066088,3574081104,2016.959961,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
08:48.0,28-02-2022,5328166990,8503368512,1477.130005,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
32:35.0,04-11-2023,5604529187,5476654128,23312.74023,GBP,Dirham,UK,UAE,Prepaid Card,1,Cash_Deposits,20,25,15,5,5,70,High,1
36:25.0,22-09-2023,5789633176,2394868732,20394.89063,USD,PAB,USA,Panama,Cheque,1,Fan-In,20,25,15,8,10,78,High,1
06:15.0,08-11-2022,3250402001,2458198451,3460.300049,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
07:33.0,28-03-2023,1634323009,1441542090,4460.129883,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
48:41.0,28-04-2021,7783763790,2357806226,4175.419922,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
50:17.0,28-07-2023,6628158856,2940955281,5477.680176,GBP,Dirham,UK,UAE,Cash Deposit,1,Fan-In,20,15,15,10,10,70,High,1
32:24.0,20-12-2022,5471158508,6103449651,4548.75,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
28:06.0,18-06-2022,9952125442,3775094726,13944.20996,GBP,Dirham,UK,UAE,Cross-border,1,Structuring,20,25,15,15,5,80,High,1
10:23.0,03-08-2022,6958908766,8621268224,4191.25,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
21:04.0,28-05-2022,6515369278,4750707607,22506.18945,GBP,Dirham,UK,UAE,ACH,1,Cash_Deposits,20,25,15,5,5,70,High,1
41:44.0,26-10-2023,5028688786,8695129534,8632.080078,EUR,EUR,Germany,Germany,Credit Card,1,Structuring,0,15,0,5,5,25,Low,0
42:27.0,01-03-2023,6852312425,6214917780,1262.219971,PAB,Dirham,Panama,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
04:18.0,07-06-2021,3261436148,8137931739,6470.439941,USD,Dirham,USA,UAE,ACH,1,Fan-Out,20,15,15,5,12,67,Medium,1
44:49.0,29-08-2023,2879792991,7059591606,2593.850098,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
18:48.0,28-11-2022,4586784711,9523104008,4235.660156,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
33:26.0,09-09-2021,2073755632,8048810275,21657.5293,USD,GBP,USA,UK,Wire Transfer,1,Fan-In,20,25,15,5,10,75,High,1
48:10.0,28-02-2022,3204833223,8864285771,1166.849976,GBP,Dirham,UK,UAE,Prepaid Card,1,Cross-Border_Movement,20,5,15,5,20,65,Medium,0
59:01.0,28-10-2022,6307626407,5271453859,2945.139893,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
53:45.0,07-10-2023,1627276995,5459478267,11017.86035,PAB,EUR,Panama,Germany,Prepaid Card,1,Cross-Border_Movement,20,25,15,5,20,85,High,1
00:57.0,28-05-2021,4586139213,7561728644,1732.849976,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
03:15.0,15-10-2022,7969918312,1269754673,1303.430054,PAB,USD,Panama,USA,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
36:15.0,28-08-2021,7935554354,2789144223,2217.97998,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
04:33.0,26-04-2023,3380064537,3019214800,23629.83008,GBP,Dirham,UK,UAE,Cheque,1,Fan-In,20,25,15,8,10,78,High,1
04:22.0,10-01-2022,3698343112,2428156550,2157.449951,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
11:53.0,30-11-2023,8281641403,3713284816,13450.96973,GBP,EUR,UK,Germany,Cross-border,1,Fan-In,20,25,15,15,10,85,High,1
02:50.0,06-11-2021,7328203808,3778416511,17872.46094,GBP,Dirham,UK,UAE,Cash Deposit,1,Cash_Deposits,20,25,15,10,5,75,High,1
51:23.0,10-11-2022,8487449580,6955593943,2327.23999,PAB,EUR,Panama,Germany,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
33:17.0,09-05-2021,5633956194,4531928910,4881.47998,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
42:18.0,22-04-2022,8377306021,7201539282,24098.74023,GBP,Dirham,UK,UAE,Cheque,1,Structuring,20,25,15,8,5,73,High,1
17:40.0,28-03-2021,3918046336,5092199300,7042.779785,GBP,Dirham,UK,UAE,Prepaid Card,1,Cross-Border_Movement,20,15,15,5,20,75,High,1
04:15.0,30-09-2023,3436297208,3598862507,12933.95996,GBP,Dirham,UK,UAE,Cheque,1,Cross-Border_Movement,20,25,15,8,20,88,High,1
36:08.0,03-04-2023,2196963451,5125402225,2063.689941,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
58:35.0,28-07-2021,8318786687,7922959795,7836.169922,GBP,Dirham,UK,UAE,ACH,1,Fan-In,20,15,15,5,10,65,Medium,1
04:28.0,26-09-2021,9868845806,7623575561,1885.290039,SGD,Dirham,Singapore,UAE,Credit Card,1,Fan-Out,20,5,15,5,12,57,Medium,0
32:14.0,08-07-2021,4401896171,3121808073,15629.54004,GBP,Dirham,UK,UAE,Cross-border,1,Structuring,20,25,15,15,5,80,High,1
56:05.0,13-04-2021,8382488970,7552812957,2911.25,SGD,USD,Singapore,USA,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
41:04.0,01-12-2022,7517011632,3524521602,1016.210022,Dirham,PAB,UAE,Panama,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
53:07.0,28-03-2023,5990610098,6263354802,7687.52002,USD,KYD,USA,Cayman Islands,Cheque,1,Fan-Out,20,15,15,8,12,70,High,1
35:17.0,14-07-2021,9991206531,3753020051,22798.38086,GBP,Dirham,UK,UAE,ACH,1,Structuring,20,25,15,5,5,70,High,1
38:21.0,28-05-2023,1348849508,7752277876,1806.160034,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
34:18.0,25-09-2023,3074232200,8236980551,1408.560059,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
28:26.0,23-01-2023,5912019621,2712474804,2855.699951,USD,USD,USA,USA,Credit Card,1,Structuring,0,5,0,5,5,15,Low,0
07:17.0,28-11-2022,5512315375,9355364489,24655.60938,PAB,Dirham,Panama,UAE,ACH,1,Cash_Deposits,20,25,15,5,5,70,High,1
46:20.0,22-10-2021,7505693643,6620138568,6809.330078,GBP,Dirham,UK,UAE,Wire Transfer,1,Cross-Border_Movement,20,15,15,5,20,75,High,1
13:37.0,28-07-2022,7316122432,3305069227,17131.25,PAB,Dirham,Panama,UAE,Credit Card,1,Cash_Deposits,20,25,15,5,5,70,High,1
23:02.0,28-09-2022,2239534867,7656585531,19278.86914,USD,EUR,USA,Germany,ACH,1,Fan-In,20,25,15,5,10,75,High,1
50:21.0,17-05-2023,4242550727,7481631841,1798.079956,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
21:51.0,06-01-2023,5895322075,2368076065,18477.18945,GBP,Dirham,UK,UAE,Prepaid Card,1,Cash_Deposits,20,25,15,5,5,70,High,1
32:53.0,03-03-2023,6582557981,4503614567,9826.799805,GBP,Dirham,UK,UAE,Cross-border,1,Structuring,20,15,15,15,5,70,High,1
57:46.0,05-12-2023,7858674568,9810503338,3455.679932,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
49:53.0,28-08-2022,9725528903,1471997674,3460.820068,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
44:13.0,30-09-2022,4124168227,4031281545,13858.58984,GBP,Dirham,UK,UAE,Credit Card,1,Cross-Border_Movement,20,25,15,5,20,85,High,1
20:11.0,16-12-2022,8272725281,7915226263,1179.219971,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
14:19.0,25-03-2022,7395219544,7355707297,21047.25977,GBP,Dirham,UK,UAE,Credit Card,1,Cash_Deposits,20,25,15,5,5,70,High,1
36:43.0,24-04-2023,9504724761,8809871735,2147.280029,SGD,Dirham,Singapore,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
45:05.0,23-06-2022,8112345816,8504761698,5476.439941,GBP,Dirham,UK,UAE,Cheque,1,Structuring,20,15,15,8,5,63,Medium,1
08:06.0,15-08-2023,2027708670,9807970435,971.2600098,Dirham,EUR,UAE,Germany,Credit Card,1,Structuring,20,0,15,5,5,45,Medium,0
21:45.0,28-01-2023,4990452762,9067664957,3281.75,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
20:18.0,28-10-2023,4957687327,4597485607,3645.77002,GBP,SGD,UK,Singapore,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
59:47.0,26-03-2022,5334769475,9516893896,1398.109985,GBP,Dirham,UK,UAE,Wire Transfer,1,Structuring,20,5,15,5,5,50,Medium,0
08:54.0,23-02-2023,5778781449,1799718923,13290.23047,SGD,KYD,Singapore,Cayman Islands,Prepaid Card,1,Fan-Out,20,25,15,5,12,77,High,1
54:40.0,22-09-2022,7508080884,5667503195,1751.280029,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
20:59.0,28-01-2022,6306523372,8532327465,16484.15039,KYD,USD,Cayman Islands,USA,Cash Deposit,1,Cash_Deposits,20,25,15,10,5,75,High,1
44:15.0,07-04-2021,7293823553,5980945846,5184.790039,GBP,Dirham,UK,UAE,Credit Card,1,Cash_Deposits,20,15,15,5,5,60,Medium,1
40:58.0,04-04-2022,1948540266,5111832212,3701.939941,GBP,Dirham,UK,UAE,Credit Card,1,Structuring,20,5,15,5,5,50,Medium,0
23:26.0,27-12-2023,9941564880,8317619798,10281.65039,GBP,Dirham,UK,UAE,Cash Deposit,1,Structuring,20,25,15,10,5,75,High,1
12:36.0,28-04-2023,2897690739,3921845810,23481.51953,PAB,GBP,Panama,UK,Cross-border,1,Fan-In,20,25,15,15,10,85,High,1
